Entity,Code,Year,Annual change in primary energy consumption (%)
China,CHN,1966,8.665156
China,CHN,1967,-10.078401
China,CHN,1968,1.0410905
China,CHN,1969,21.658289
China,CHN,1970,27.992416
China,CHN,1971,18.56401
China,CHN,1972,7.810807
China,CHN,1973,5.566919
China,CHN,1974,3.133738
China,CHN,1975,11.977732
China,CHN,1976,5.2815795
China,CHN,1977,9.0410595
China,CHN,1978,9.629965
China,CHN,1979,3.017962
China,CHN,1980,1.1674404
China,CHN,1981,-1.3191819
China,CHN,1982,4.4716
China,CHN,1983,6.4463854
China,CHN,1984,7.313478
China,CHN,1985,8.183193
China,CHN,1986,4.7758937
China,CHN,1987,7.8541994
China,CHN,1988,7.4367642
China,CHN,1989,4.9460173
China,CHN,1990,1.2992144
China,CHN,1991,5.0308466
China,CHN,1992,5.2304864
China,CHN,1993,7.795179
China,CHN,1994,6.2507987
China,CHN,1995,3.0237079
China,CHN,1996,5.3589225
China,CHN,1997,0.6755471
China,CHN,1998,0.17696619
China,CHN,1999,3.5043716
China,CHN,2000,3.6379218
China,CHN,2001,5.6759596
China,CHN,2002,8.904743
China,CHN,2003,16.481483
China,CHN,2004,17.00753
China,CHN,2005,13.604248
China,CHN,2006,9.612179
China,CHN,2007,8.682812
China,CHN,2008,3.8758636
China,CHN,2009,4.3751597
China,CHN,2010,6.983757
China,CHN,2011,7.850206
China,CHN,2012,4.1090727
China,CHN,2013,3.7652612
China,CHN,2014,2.589178
China,CHN,2015,1.1717081
China,CHN,2016,0.40335655
China,CHN,2017,3.8882136
China,CHN,2018,4.802978
China,CHN,2019,4.631388
China,CHN,2020,3.2476068
China,CHN,2021,5.6714416
China,CHN,2022,1.526463
China,CHN,2023,6.539738
