Entity,Code,Year,Per capital consumption-based CO₂ emissions (t)
China,CHN,1990,2.0113869
China,CHN,1991,2.0495768
China,CHN,1992,2.1744444
China,CHN,1993,2.3026314
China,CHN,1994,2.2745504
China,CHN,1995,2.4538515
China,CHN,1996,2.5390222
China,CHN,1997,2.4643629
China,CHN,1998,2.3662875
China,CHN,1999,2.5175753
China,CHN,2000,2.5696766
China,CHN,2001,2.6264749
China,CHN,2002,2.8369317
China,CHN,2003,3.1499577
China,CHN,2004,3.3146021
China,CHN,2005,3.6017025
China,CHN,2006,3.8965902
China,CHN,2007,4.1839085
China,CHN,2008,4.475426
China,CHN,2009,5.0063167
China,CHN,2010,5.4285965
China,CHN,2011,5.9840946
China,CHN,2012,6.20575
China,CHN,2013,6.326638
China,CHN,2014,6.3450193
China,CHN,2015,6.3463798
China,CHN,2016,6.3107986
China,CHN,2017,6.467915
China,CHN,2018,6.7618275
China,CHN,2019,6.9766808
China,CHN,2020,6.993045
China,CHN,2021,7.2913203
China,CHN,2022,7.233985
Europe,EU,1990,9.165478
Europe,EU,1991,10.5307665
Europe,EU,1992,9.13749
Europe,EU,1993,9.010976
Europe,EU,1994,8.774459
Europe,EU,1995,8.769128
Europe,EU,1996,9.001794
Europe,EU,1997,8.741225
Europe,EU,1998,8.703413
Europe,EU,1999,8.607981
Europe,EU,2000,8.6587305
Europe,EU,2001,8.869946
Europe,EU,2002,8.830935
Europe,EU,2003,9.14064
Europe,EU,2004,9.254134
Europe,EU,2005,9.430834
Europe,EU,2006,9.671204
Europe,EU,2007,9.77533
Europe,EU,2008,9.707038
Europe,EU,2009,8.837609
Europe,EU,2010,9.205963
Europe,EU,2011,9.019024
Europe,EU,2012,8.816281
Europe,EU,2013,8.556672
Europe,EU,2014,8.220595
Europe,EU,2015,7.9842
Europe,EU,2016,8.031897
Europe,EU,2017,8.044411
Europe,EU,2018,8.052947
Europe,EU,2019,7.829117
Europe,EU,2020,7.238609
Europe,EU,2021,7.7246246
Europe,EU,2022,7.774388
United States,USA,1990,19.916475
United States,USA,1991,19.33597
United States,USA,1992,19.82323
United States,USA,1993,19.819054
United States,USA,1994,20.002848
United States,USA,1995,20.025366
United States,USA,1996,20.450321
United States,USA,1997,20.641394
United States,USA,1998,21.032795
United States,USA,1999,21.4842
United States,USA,2000,22.212774
United States,USA,2001,21.728706
United States,USA,2002,21.926226
United States,USA,2003,22.38068
United States,USA,2004,22.597672
United States,USA,2005,22.731833
United States,USA,2006,22.45112
United States,USA,2007,21.989264
United States,USA,2008,20.700548
United States,USA,2009,18.753592
United States,USA,2010,19.166231
United States,USA,2011,18.514395
United States,USA,2012,17.814308
United States,USA,2013,17.924437
United States,USA,2014,18.058126
United States,USA,2015,17.747473
United States,USA,2016,17.194378
United States,USA,2017,16.954721
United States,USA,2018,17.322638
United States,USA,2019,16.87076
United States,USA,2020,15.280819
United States,USA,2021,16.374
United States,USA,2022,16.522089
