Entity,Code,Year,Primary energy consumption (TWh)
China,CHN,1965,1536
China,CHN,1966,1669
China,CHN,1967,1501
China,CHN,1968,1516
China,CHN,1969, 1785
China,CHN,1970,2361
China,CHN,1971,2800
China,CHN,1972,3018
China,CHN,1973,3186
China,CHN,1974,3286
China,CHN,1975,3680
China,CHN,1976,3874
China,CHN,1977,4225
China,CHN,1978,4632
China,CHN,1979,4771
China,CHN,1980,4827
China,CHN,1981,4763
China,CHN,1982,4976
China,CHN,1983,5297
China,CHN,1984,5685
China,CHN,1985,6150
China,CHN,1986,6444
China,CHN,1987,6950
China,CHN,1988,7467
China,CHN,1989,7836
China,CHN,1990,7938
China,CHN,1991,8337
China,CHN,1992,8773
China,CHN,1993,9457
China,CHN,1994,10048
China,CHN,1995,10352
China,CHN,1996,10907
China,CHN,1997,10981
China,CHN,1998,11000
China,CHN,1999,11386
China,CHN,2000,11800
China,CHN,2001,12470
China,CHN,2002,13580
China,CHN,2003,15818
China,CHN,2004,18509
China,CHN,2005,21027
China,CHN,2006,23048
China,CHN,2007,25049
China,CHN,2008,26020
China,CHN,2009,27158
China,CHN,2010,29055
China,CHN,2011,31336
China,CHN,2012,32624
China,CHN,2013,33852
China,CHN,2014,34729
China,CHN,2015,35135
China,CHN,2016,35277
China,CHN,2017,36649
China,CHN,2018,38409
China,CHN,2019,40188
China,CHN,2020,41493
China,CHN,2021,43847
China,CHN,2022,44516
China,CHN,2023,47427
Europe,EU,1965,19275
Europe,EU,1966,20075
Europe,EU,1967,20821
Europe,EU,1968,21968
Europe,EU,1969,23343
Europe,EU,1970,24729
Europe,EU,1971,25571
Europe,EU,1972,26802
Europe,EU,1973,28269
Europe,EU,1974,28582
Europe,EU,1975,28919
Europe,EU,1976,30327
Europe,EU,1977,31172
Europe,EU,1978,32403
Europe,EU,1979,33512
Europe,EU,1980,33296
Europe,EU,1981,33056
Europe,EU,1982,33006
Europe,EU,1983,33467
Europe,EU,1984,34504
Europe,EU,1985,33413
Europe,EU,1986,33999
Europe,EU,1987,34772
Europe,EU,1988,35176
Europe,EU,1989,35108
Europe,EU,1990,35091
Europe,EU,1991,34684
Europe,EU,1992,33424
Europe,EU,1993,32250
Europe,EU,1994,30958
Europe,EU,1995,30910
Europe,EU,1996,31149
Europe,EU,1997,30616
Europe,EU,1998,30757
Europe,EU,1999,30730
Europe,EU,2000,31104
Europe,EU,2001,31523
Europe,EU,2002,31341
Europe,EU,2003,31852
Europe,EU,2004,32272
Europe,EU,2005,32365
Europe,EU,2006,32797
Europe,EU,2007,32563
Europe,EU,2008,32468
Europe,EU,2009,30530
Europe,EU,2010,31727
Europe,EU,2011,31329
Europe,EU,2012,31261
Europe,EU,2013,30934
Europe,EU,2014,30016
Europe,EU,2015,29955
Europe,EU,2016,30318
Europe,EU,2017,30568
Europe,EU,2018,30898
Europe,EU,2019,30412
Europe,EU,2020,28532
Europe,EU,2021,29748
Europe,EU,2022,29065
Europe,EU,2023,28666
United States,USA,1965,14439
United States,USA,1966,15247
United States,USA,1967,15778
United States,USA,1968,16719
United States,USA,1969,17583
United States,USA,1970,18205
United States,USA,1971,18589
United States,USA,1972,19514
United States,USA,1973,20339
United States,USA,1974,19842
United States,USA,1975,19319
United States,USA,1976,20376
United States,USA,1977,20895
United States,USA,1978,21359
United States,USA,1979,21584
United States,USA,1980,20751
United States,USA,1981,20138
United States,USA,1982,19318
United States,USA,1983,19250
United States,USA,1984,20235
United States,USA,1985,20184
United States,USA,1986,20371
United States,USA,1987,21055
United States,USA,1988,22014
United States,USA,1989,22546
United States,USA,1990,22609
United States,USA,1991,22579
United States,USA,1992,22913
United States,USA,1993,23396
United States,USA,1994,23824
United States,USA,1995,24343
United States,USA,1996,25165
United States,USA,1997,25354
United States,USA,1998,25513
United States,USA,1999,25965
United States,USA,2000,26546
United States,USA,2001,25918
United States,USA,2002,26297
United States,USA,2003,26383
United States,USA,2004,26899
United States,USA,2005,26912
United States,USA,2006,26699
United States,USA,2007,27066
United States,USA,2008,26407
United States,USA,2009,25110
United States,USA,2010,25953
United States,USA,2011,25729
United States,USA,2012,25047
United States,USA,2013,25728
United States,USA,2014,25995
United States,USA,2015,25747
United States,USA,2016,25727
United States,USA,2017,25823
United States,USA,2018,26768
United States,USA,2019,26578
United States,USA,2020,24622
United States,USA,2021,25956
United States,USA,2022,26504
United States,USA,2023,26189
