Entity,Code,Year,Primary energy consumption (TWh)
France,FRA,1965,1347.1725
France,FRA,1966,1376.6533
France,FRA,1967,1461.883
France,FRA,1968,1538.5549
France,FRA,1969,1691.6643
France,FRA,1970,1831.6133
France,FRA,1971,1895.4021
France,FRA,1972,2017.9841
France,FRA,1973,2191.6658
France,FRA,1974,2151.3804
France,FRA,1975,2034.1217
France,FRA,1976,2154.3
France,FRA,1977,2197.6228
France,FRA,1978,2278.2778
France,FRA,1979,2342.6821
France,FRA,1980,2327.355
France,FRA,1981,2293.1763
France,FRA,1982,2210.5032
France,FRA,1983,2259.899
France,FRA,1984,2338.5737
France,FRA,1985,2415.4453
France,FRA,1986,2472.164
France,FRA,1987,2528.0325
France,FRA,1988,2561.4714
France,FRA,1989,2593.2905
France,FRA,1990,2649.8232
France,FRA,1991,2834.1758
France,FRA,1992,2857.941
France,FRA,1993,2853.8882
France,FRA,1994,2824.7595
France,FRA,1995,2904.1978
France,FRA,1996,3012.3481
France,FRA,1997,2965.6794
France,FRA,1998,3037.222
France,FRA,1999,3078.016
France,FRA,2000,3117.9092
France,FRA,2001,3143.0464
France,FRA,2002,3118.9194
France,FRA,2003,3153.0417
France,FRA,2004,3180.1296
France,FRA,2005,3154.079
France,FRA,2006,3128.9307
France,FRA,2007,3075.7896
France,FRA,2008,3084.8447
France,FRA,2009,2908.9104
France,FRA,2010,3001.2307
France,FRA,2011,2897.027
France,FRA,2012,2894.0276
France,FRA,2013,2924.1458
France,FRA,2014,2796.8435
France,FRA,2015,2822.273
France,FRA,2016,2765.4526
France,FRA,2017,2754.9192
France,FRA,2018,2788.956
France,FRA,2019,2729.5625
France,FRA,2020,2441.1663
France,FRA,2021,2593.6248
France,FRA,2022,2298.5596
France,FRA,2023,2406.6328
